timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
28419885,28418939,2.9015618e-08,2.8804388e-05,0.0008609661,0.0035735432,0.003617026,0.011264231,659,0,3.7764795,0.52830166,0.12650535,0.0,0.006283547,0.00026313346,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,2,0,0,0,0,0,0,0
28619435,28618667,2.8396263e-08,2.863128e-05,0.00082076126,0.0032916013,0.0019166532,0.007204672,659,0,3.88288,0.52680236,0.117920525,0.0,0.0048643183,0.00217913,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,2,0,0,0,0,0,0,0
28829065,28828265,2.7924486e-08,2.8364995e-05,0.00081284833,0.00393289,0.0032838273,0.00788613,659,0,3.9875433,0.5264742,0.16613029,0.0,0.0032777803,0.010452497,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,2,0,0,0,0,0,0,0
29028670,29027937,3.179122e-08,3.0203439e-05,0.00082943507,0.004127787,0.0034693924,0.0081290575,659,0,4.0662794,0.5310444,0.15915371,0.0,0.0015423477,0.007370986,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,2,0,0,0,0,0,0,0
29228525,29227656,3.171422e-08,3.0329706e-05,0.0008038245,0.0038305311,0.0034364196,0.0131281465,659,0,4.131869,0.529594,0.09359368,0.0,0.0032951757,0.008705441,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,2,0,0,0,0,0,0,0
29428045,29427281,3.1128046e-08,2.9818e-05,0.00076097326,0.0031395752,0.0060423627,0.020698782,659,0,4.1850066,0.528158,0.095585495,0.0,0.0054392777,0.006377428,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,2,0,0,0,0,0,0,0
29627810,29626954,3.1280845e-08,2.9048317e-05,0.00072647823,0.0026922452,0.008699675,0.030741923,659,0,4.2265444,0.52673024,0.095394924,0.0,0.0077208695,0.005903301,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,2,0,0,0,0,0,0,0
29827553,29826625,3.2045865e-08,2.7984179e-05,0.0007281084,0.0018573533,0.0110803675,0.041531634,659,0,4.25742,0.5313717,0.077397324,0.0,0.010029207,0.002058558,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,2,0,0,0,0,0,0,0
30027062,30026297,3.4663206e-08,2.8608812e-05,0.0007266274,0.0008054283,0.013533279,0.05255123,8389347,0,4.278415,0.5299478,0.09486955,0.0,0.01216684,0.008665065,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,3,0,0,0,0,0,0,0
30228498,30225970,3.3615397e-08,2.7768661e-05,0.00076457986,6.379893e-05,0.016089357,0.06273197,8389347,0,4.2898664,0.52853405,0.08899477,0.0,0.013988491,0.0038098763,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,3,0,0,0,0,0,0,0
30428131,30425645,3.1710808e-08,2.6053547e-05,0.00076590036,5.9847254e-05,0.017995423,0.07199882,8389347,0,4.29297,0.5271137,0.23101743,0.0,0.015559513,0.005172561,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,165,1,0,1,0,3,0,0,0,0,0,0,0
