timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
88721337,88720372,396825,-0.077984154,-0.3012619,0.20919475,3
89212026,89211045,396825,-0.06754075,-0.30900982,0.1799394,3
89723517,89722545,396825,-0.05675419,-0.31382856,0.21218385,3
90214153,90213081,396825,-0.034668304,-0.31962645,0.20207056,3
90725921,90724950,396825,-0.02358871,-0.3175468,0.18952008,3
91216088,91215095,396825,0.0048612203,-0.32897893,0.17070186,3
91727898,91726932,396825,0.04945868,-0.32200497,0.19306697,3
92218349,92217384,396825,0.07700581,-0.31566024,0.18273856,3
92708587,92707621,396825,0.12647861,-0.2948023,0.17572385,3
93220814,93219775,396825,0.16795225,-0.26612657,0.18549512,3
93732599,93731632,396825,0.21497057,-0.23098971,0.1858115,3
94223355,94222384,396825,0.24782167,-0.1915866,0.18799785,3
94713723,94712708,396825,0.27835342,-0.14817998,0.18304512,3
95225388,95224420,396825,0.2852982,-0.087035015,0.17275795,3
95715911,95714945,396825,0.27251026,-0.034897152,0.17989457,3
96227537,96226570,396825,0.27629408,-0.009003953,0.18846078,3
96718108,96717082,396825,0.26222852,-0.031982724,0.18840615,3
97230011,97229040,396825,0.27179623,-0.0417033,0.17286457,3
97720327,97719360,396825,0.25984818,0.0012819816,0.17648143,3
98211104,98210139,396825,0.24171445,0.0067370995,0.1833011,3
98722918,98721951,396825,0.25746492,0.03394204,0.16525376,3
99213034,99212067,396825,0.25212446,0.013660033,0.15204515,3
99725026,99724034,396825,0.245805,0.0005930625,0.1630111,3
100215446,100214422,396825,0.24747847,0.0062700207,0.1458682,3
100727313,100726346,396825,0.25513974,0.0076754508,0.17283554,3
101217805,101216834,396825,0.24968247,0.0064559407,0.1674758,3
101708335,101707322,396825,0.24268784,0.00089236797,0.15930122,3
102220025,102219061,396825,0.2513291,0.0041113975,0.15782593,3
102710281,102709315,396825,0.24584031,0.0065591177,0.15525603,3
103222156,103221190,396825,0.25431323,0.0056634624,0.17957702,3
103713014,103712042,396825,0.26228753,0.010461029,0.16052839,3
104224263,104223284,396825,0.24662927,0.009739225,0.15330832,3
104714901,104713881,396825,0.2505637,0.005768529,0.15419713,3
105226677,105225707,396825,0.24648757,0.011066429,0.17283098,3
105717048,105715999,396825,0.25516102,0.018357059,0.16490746,3
106229074,106228079,396825,0.24408735,0.017486729,0.1760638,3
106719617,106718654,396825,0.2513291,0.0041113975,0.15782593,3
107209608,107208639,396825,0.2608286,0.008254799,0.14559984,3
107721540,107720566,396825,0.26948094,0.0061536254,0.14499468,3
108212341,108211338,396825,0.2678941,-0.0020205546,0.15098129,3
108724313,108723336,396825,0.26958105,-0.006218362,0.13645037,3
109214326,109213315,396825,0.2883707,-0.007931806,0.1463339,3
109726236,109725270,396825,0.2859984,-0.012232414,0.15052253,3
110216699,110215707,396825,0.3047206,0.007656943,0.16006319,3
110728174,110727203,396825,0.29277596,0.024765637,0.17509025,3
111218940,111217971,396825,0.3200676,0.085034974,0.17628035,3
111709750,111708708,396825,0.31537998,0.09695083,0.16714531,3
112220898,112219935,396825,0.31222853,0.10160251,0.16631263,3
112711368,112710370,396825,0.31769753,0.10395084,0.16949388,3
113223380,113222412,396825,0.33574343,0.11844555,0.16599129,3
113713606,113712634,396825,0.33731782,0.11775209,0.16584156,3
