timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
58220481,5.264209,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
58723067,5.2625976,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
59220469,5.2754884,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
59721379,5.2916017,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
60220489,5.2996583,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
60720935,5.278711,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
61220499,5.259375,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
61732675,5.2738767,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
62230567,5.2964354,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
62720472,5.26582,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
63220776,5.270654,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
63731884,5.26582,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
64220778,5.2529297,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
64732436,5.2625976,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
65220471,5.2738767,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
65730469,5.269043,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
66230514,5.2754884,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
66722699,5.2819333,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
67220471,5.264209,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
67720470,5.2754884,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
68232642,5.294824,3.3306153,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
68730583,5.2964354,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
69221286,5.2964354,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
69732129,5.2722654,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
70220638,5.2883787,3.3354492,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
70730820,5.28999,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
71220663,5.302881,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
71731976,5.28999,3.3354492,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
72230467,5.2722654,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
72730605,5.302881,3.3338377,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
