timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
39725232,39725232,40,0,0,0,1482,1449,1198,1437,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
40208963,40208963,40,0,0,0,1475,1497,1187,1426,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
40710552,40710552,40,0,0,0,1487,1472,1183,1424,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
41225146,41225146,40,0,0,0,1495,1488,1203,1422,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
41719580,41719580,41,0,0,0,1495,1458,1198,1418,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
42215593,42215593,41,0,0,0,1496,1458,1193,1413,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
42717531,42717531,41,0,0,0,1496,1483,1185,1413,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
43212105,43212105,41,0,0,0,1496,1456,1204,1412,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
43718112,43718112,41,0,0,0,1495,1457,1209,1417,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
44212231,44212231,41,0,0,0,1498,1438,1189,1415,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
44726393,44726393,41,0,0,0,1498,1438,1179,1419,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
45223373,45223373,41,0,0,0,1507,1477,1203,1412,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
45722037,45722037,41,0,0,0,1495,1460,1197,1410,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
46208378,46208378,41,0,0,0,1496,1497,1183,1416,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
46726679,46726679,41,0,0,0,1496,1497,1202,1412,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
47221351,47221351,41,0,0,0,1466,1495,1193,1423,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
47725040,47725040,41,0,0,0,1497,1492,1184,1425,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
48215824,48215824,41,0,0,0,1469,1497,1195,1425,1933,1933,1065,1153,1065,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
