timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
22922998,-0.00418928,-0.0016238255,0.009508616,4992,0,0.42045328,0.32477248,-10.075602,4992,0
22927990,-0.004980709,0.0026852342,-0.00091349985,4992,0,-0.5551802,0.27183568,-9.828797,4992,0
22932981,-0.013128598,0.0076120542,0.0002817246,4991,0,0.48499382,-0.14386208,-10.1202135,4991,0
22937973,0.001805413,-0.0027023552,0.009292197,4992,0,0.057677116,0.04485741,-9.97972,4992,0
22942965,-0.00019810983,0.0052134846,-0.0040312046,4992,0,-0.23598446,-0.0027690397,-9.615631,4992,0
22947963,-0.0070668887,0.014709316,0.004054322,4998,0,0.11764049,-0.28959826,-10.079871,4998,0
22952948,-0.0004135979,0.0032985487,0.010788886,4985,0,0.32069415,0.20521651,-9.694251,4985,0
22957942,-0.022837266,0.0016097178,-0.007733858,4994,0,-0.297602,-0.1784541,-9.9821415,4994,0
22962931,-0.010827712,-0.0055422587,0.0009935243,4989,0,0.18801157,-0.0075748586,-10.149322,4989,0
22967924,0.0046980875,-0.0019521753,0.0030883038,4993,0,-0.18856464,0.45017537,-9.803376,4993,0
22972915,-0.013136467,0.015250739,0.0023885951,4991,0,0.19420452,-0.4735072,-9.588047,4991,0
22977907,-0.007573712,0.0031760195,0.011014795,4992,0,0.02372787,-0.031054411,-10.401575,4992,0
22992884,0.00094063685,0.004836016,0.0022461931,4993,0,-0.1760896,-0.35147992,-10.260218,4993,0
22997874,-0.0059054564,0.011493034,-0.0016809739,4990,0,0.24844049,0.5836368,-9.696784,4990,0
23002866,-0.01100934,0.00025922054,-0.002855585,4992,0,0.208749,-0.020766513,-9.857151,4992,0
23007865,-0.012957903,-0.0017417853,-0.0013713053,4999,0,-0.3697947,-0.96311116,-10.35861,4999,0
23012848,-0.0014177351,-0.009406013,-0.002034626,4983,0,0.43994227,0.71300954,-9.799912,4983,0
23017840,0.0036832986,0.020920137,-0.0022815675,4992,0,-0.3578185,0.3112511,-9.52502,4992,0
23022885,0.0014965838,-0.00039273963,-0.0022844574,5045,0,-0.35292742,-0.438713,-10.360188,5045,0
23027824,-0.01946372,-0.0067869313,-0.003102878,4939,0,0.6241371,-0.2992053,-10.306582,4939,0
23032815,-0.019907394,0.01167174,-0.0024552299,4991,0,0.2564523,0.1755783,-8.686604,4991,0
23037807,-0.01944431,-0.00018035923,0.0006144872,4992,0,-0.3767773,0.012696081,-10.080631,4992,0
23042800,0.0040350547,0.00027906682,-0.00093409425,4993,0,-0.4720256,0.19833764,-11.148862,4993,0
23047791,0.011399971,-0.003555932,-0.00037965673,4991,0,0.35553887,-0.44717988,-9.64504,4991,0
23052783,-0.003424065,0.006695817,0.0044331797,4992,0,0.751586,0.048822038,-9.989582,4992,0
23057776,-0.017530229,0.0053879926,0.004894086,4993,0,0.22345841,0.60786885,-9.347209,4993,0
23062767,-0.031590957,0.009773932,0.0057339044,4991,0,-0.8991804,-0.4844583,-8.257437,4991,0
23067758,-0.025088144,0.0010045723,0.0037367295,4991,0,-0.43083057,-0.4251437,-11.501345,4991,0
23072749,0.011433277,-0.009796758,0.0086643435,4991,0,0.8382809,0.20333958,-10.645198,4991,0
23077741,0.00946995,0.0114781475,0.005374484,4992,0,0.8861799,0.5535861,-10.571649,4992,0
23082733,0.028911408,0.02477495,0.004464993,4992,0,-0.45206675,0.10912247,-9.077629,4992,0
23087729,-0.0059342305,0.04705265,-0.002878139,4996,0,-1.6539748,-0.45772225,-8.441879,4996,0
23092717,-0.00057733944,0.067540154,-0.0015502999,4988,0,-1.0810908,-0.15443675,-10.811911,4988,0
23097714,0.006774077,0.070022054,-0.006803161,4997,0,0.8278387,-0.2058734,-10.9801445,4997,0
23102700,0.015087817,0.066885285,-0.007674101,4986,0,1.4507864,0.25975224,-11.685448,4986,0
23107692,0.024185192,0.07615445,-0.0052463408,4992,0,0.3514941,0.16446453,-9.245624,4992,0
23112685,0.018129297,0.09883485,-0.0068056216,4993,0,-1.0460737,0.08857379,-8.506286,4993,0
23117675,0.024605012,0.121699974,-0.0041068434,4990,0,-1.1915355,0.27735844,-9.378411,4990,0
23122667,0.024905661,0.11452687,-0.006310074,4992,0,-0.37944064,-0.14428963,-10.376868,4992,0
23127659,0.03388177,0.11759741,-0.008694856,4992,0,0.4731313,-0.5072325,-12.075289,4992,0
23132657,0.03793246,0.13201258,-0.005350931,4998,0,0.9512063,0.5522843,-10.978285,4998,0
23137643,-0.0053412323,0.12167693,-0.007410473,4986,0,0.115801044,-0.8460067,-10.461724,4986,0
23142635,-0.02764775,0.13871029,0.0020889742,4992,0,0.11647858,0.4949112,-9.185216,4992,0
23147630,-0.040068384,0.13595432,-0.011639706,4995,0,-0.6004394,-0.041296694,-9.36674,4995,0
23152618,-0.019160481,0.14977226,-0.0023765382,4988,0,0.06416174,-0.07304915,-9.655971,4988,0
23157609,0.0030286447,0.12185515,-0.0035238904,4991,0,0.97100085,0.40937755,-10.474098,4991,0
23162601,0.00518291,0.089934595,0.008721457,4992,0,-0.11460691,-0.57778734,-9.769632,4992,0
23167594,0.0308073,0.091796055,0.0013961671,4993,0,-0.2054543,0.80251,-9.675797,4993,0
23172585,0.033256467,0.0819694,0.0031320062,4991,0,-0.33141476,-0.31748196,-9.806452,4991,0
23177620,0.0041390643,0.10188892,0.01356145,5035,0,-0.33440834,-0.6021408,-10.677361,5035,0
23182572,0.026437458,0.08256341,0.00769184,4952,0,0.13993303,0.7816619,-11.063394,4952,0
23187560,0.03636873,0.056665655,-6.2215244e-05,4988,0,0.4147667,0.3892876,-10.454119,4988,0
23192552,0.009898899,0.065551594,0.0009202054,4992,0,0.33921772,-0.69183356,-10.601681,4992,0
23197543,-0.001399168,0.079415455,0.0011286177,4991,0,-0.0962506,-0.4371185,-9.748584,4991,0
23202536,0.028149143,0.08420001,0.005471722,4993,0,0.23673186,0.39079127,-10.09305,4993,0
23207527,0.0357642,0.049537376,0.0071328455,4991,0,0.141334,0.25220802,-10.216921,4991,0
23212519,0.01607426,0.08636483,0.010962271,4992,0,-0.3175959,-0.33113623,-9.539984,4992,0
23217511,0.010341832,0.09124859,0.010918545,4992,0,-0.059963014,-0.011649735,-10.296298,4992,0
23222503,0.015991898,0.04262675,0.005801573,4992,0,-0.31650797,0.28267553,-10.158425,4992,0
23227494,0.034479793,0.08018821,0.0059844926,4991,0,0.029486587,-0.36852,-10.349769,4991,0
23232486,0.04822341,0.019967198,0.014225517,4992,0,0.03552576,0.65956426,-9.795953,4992,0
23237480,0.03572085,0.009930399,0.009819206,4994,0,-0.08417271,0.081714645,-10.00542,4994,0
23242469,0.023922473,0.026012486,0.0090606455,4989,0,-0.066446245,0.026045775,-10.189287,4989,0
23247461,0.031912692,0.007115398,-0.002441251,4992,0,-0.09700308,-0.1020844,-9.540099,4992,0
23252452,0.011911304,0.019964056,0.0132043995,4991,0,0.036985554,-0.15119478,-10.099839,4991,0
23257445,-0.0012642449,-0.016845284,0.014884666,4993,0,-0.021376392,-0.25509828,-9.283297,4993,0
23262437,0.0015097253,0.0040396727,0.0034759976,4992,0,-0.07712582,0.23847356,-10.233322,4992,0
23267428,-0.040162377,0.0036091693,-0.0004458367,4991,0,-0.7933419,-0.46169436,-9.76047,4991,0
23272421,-0.080932476,0.033812013,0.006519565,4993,0,0.2257059,-0.24846432,-10.272835,4993,0
23277413,-0.08401716,0.029439565,0.012788982,4992,0,-0.27991575,0.2824165,-9.703847,4992,0
23282405,-0.053174373,0.030064829,0.009287691,4992,0,0.26410604,0.2589833,-10.637382,4992,0
23287395,-0.085672446,0.035442833,0.007785266,4990,0,-0.5017812,-0.72520477,-11.437311,4990,0
23292386,-0.13091919,0.046227887,0.008014248,4991,0,-0.21989104,-0.07118951,-10.886285,4991,0
23297378,-0.1186953,0.085683405,0.022214133,4992,0,-0.29227522,0.09476747,-11.032921,4992,0
23302370,-0.08233875,0.094692945,0.023306202,4992,0,0.18425909,0.17662176,-11.024747,4992,0
23307361,-0.09578528,0.08199322,0.021872627,4991,0,0.23610462,-0.41601154,-11.199673,4991,0
23312354,-0.15578249,0.07822514,0.022210639,4993,0,-0.3074534,0.1335128,-9.596504,4993,0
23317367,-0.12897086,0.056315113,0.022158433,5013,0,0.4721317,0.11367713,-9.910862,5013,0
23322337,-0.0864169,0.035413537,0.022725489,4970,0,-0.3126316,0.113494456,-9.634585,4970,0
23327329,-0.07177036,0.010364705,0.043345373,4992,0,0.81402415,0.34112784,-10.202869,4992,0
23332321,-0.1040177,-0.005118951,0.026978755,4992,0,0.18607138,-0.14081559,-9.662215,4992,0
23337312,-0.10119406,-0.0019731687,0.014755757,4991,0,-0.17785847,-0.15892234,-9.34299,4991,0
23342304,-0.079863146,-0.024356183,0.022156917,4992,0,-0.08984501,-0.30054325,-10.043147,4992,0
23347298,-0.06643942,-0.00033348743,0.032723393,4994,0,0.013455201,0.28543568,-10.248015,4994,0
23352288,-0.0673888,-0.013098492,0.03150514,4990,0,-0.18408309,0.64970535,-10.306572,4990,0
23357280,-0.06293964,-0.0050140787,0.020650264,4992,0,-0.42339295,-0.15413658,-10.627997,4992,0
23362271,-0.09103989,0.043737445,0.019473702,4991,0,0.13274622,-0.67606145,-10.654217,4991,0
23367263,-0.08325187,-0.012837385,0.021832742,4992,0,-0.039344806,0.53219616,-9.404003,4992,0
23372255,-0.049975153,-0.033882514,0.026135942,4992,0,-0.009244656,0.17810373,-11.124272,4992,0
23377247,-0.043637257,-0.025375016,0.029993001,4992,0,0.32716691,0.39575076,-10.3945675,4992,0
23382239,-0.08183918,-0.044671603,0.008562226,4992,0,-0.25526035,-0.9762633,-10.070541,4992,0
23387230,-0.09891831,-0.00041937883,0.02211626,4991,0,-0.20736977,-0.13692626,-11.633995,4991,0
23392222,-0.06520302,0.0036352784,0.023138043,4992,0,0.41960672,0.080085844,-10.645514,4992,0
23397213,-0.04895134,-0.018763406,0.030495202,4991,0,-0.70909405,-0.37755075,-10.546104,4991,0
23402206,-0.049638435,0.040486474,0.029903062,4993,0,-0.58059067,0.9556149,-10.714198,4993,0
23407197,-0.066316165,0.046838302,0.017214127,4991,0,0.82935995,-0.19929242,-10.253036,4991,0
23412192,-0.0630802,0.028952409,0.023433072,4995,0,-0.54200464,-0.110396005,-11.054321,4995,0
23417181,-0.08381155,0.043785345,0.024487821,4989,0,0.09742107,-0.5901491,-11.223925,4989,0
23422172,-0.0838084,0.06570857,0.037578214,4991,0,-0.08053402,-0.008663642,-10.840002,4991,0
23427164,-0.09046839,0.06365021,0.01569816,4992,0,-0.20210855,-0.78719807,-10.311595,4992,0
23432156,-0.10015672,0.07254871,0.019036561,4992,0,-0.29919025,0.3506073,-11.470041,4992,0
23437148,-0.12614259,0.10406263,0.019066976,4992,0,0.36984017,-0.005245141,-10.822139,4992,0
23442139,-0.13354187,0.06087525,0.025761139,4991,0,-0.26297432,-0.3583333,-9.908308,4991,0
23447131,-0.10339004,0.052963533,0.018854065,4992,0,-0.47024897,0.0987902,-10.831914,4992,0
23452123,-0.12303283,0.04074808,0.018217659,4992,0,0.2271278,0.05288461,-10.077499,4992,0
23457116,-0.14360379,0.02473314,0.019002235,4993,0,0.1118752,-0.034177586,-10.602837,4993,0
23462106,-0.114776015,-0.0106815845,0.010787038,4990,0,0.34561545,0.22897081,-10.40105,4990,0
23467100,-0.07118327,-0.089786075,0.014009402,4994,0,0.053508833,-0.09970326,-10.650314,4994,0
23472090,-0.096277505,-0.06802715,0.012395434,4990,0,0.2752368,0.34869385,-9.6828,4990,0
23477082,-0.11748419,-0.13589156,0.0054682493,4992,0,-0.015929729,0.2192183,-10.018258,4992,0
23482073,-0.10201124,-0.16787551,0.0069048475,4991,0,0.27265096,0.5242676,-11.524844,4991,0
23487073,-0.08670577,-0.2051918,0.005119423,5000,0,0.27998063,-0.861309,-10.331932,5000,0
23492057,-0.0895225,-0.268876,0.0100612035,4984,0,0.07197519,-1.1431015,-10.300104,4984,0
23497049,-0.094228685,-0.25199667,0.009620481,4992,0,-0.08180331,0.014331962,-11.179676,4992,0
23502098,-0.097385794,-0.24443659,-0.0014248529,5049,0,0.027606875,-0.061495412,-10.328799,5049,0
23507033,-0.08644655,-0.27677307,0.003989875,4935,0,0.22464798,0.088853054,-10.69991,4935,0
23512024,-0.09044775,-0.28493854,0.009005936,4991,0,-0.045264456,0.2637666,-10.679583,4991,0
