timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,latest_arming_reason,latest_disarming_reason
27562497,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
28070669,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
28577512,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
29088903,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
29594485,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
30105509,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
30612483,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
31112704,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
31617506,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
32119051,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
32629099,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
33139421,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
33647008,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
34154478,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
34658483,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
35165930,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
35676482,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
36184654,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
36693799,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
37203645,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
37711881,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
38219602,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
38720227,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39222484,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39725529,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
40744899,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
41253872,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
41754476,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
42266257,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
42773822,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
43279516,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
43785668,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
44294744,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
44802941,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
45303475,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
45812481,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
46320866,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
46829852,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
47337481,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
47844079,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
48347891,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
49365640,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
49876179,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
50384106,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
50887216,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
51390271,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
51893723,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
52394481,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
52895116,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
53401495,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
53909608,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
54419323,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
54927727,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
55434529,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
55941757,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
56451479,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
56960907,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
57468384,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
57975475,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
58486387,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
58993724,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
59497883,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
60006511,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
60508706,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
61009703,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
61519575,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
62029494,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
62533533,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
63039015,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
63540985,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
64044513,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
64553513,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
65062775,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
65565663,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
66074483,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
66574692,1081547,0,21981253,22969645,304152620,304152588,304152591,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
