timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
29660335,29658151,4325386,0.00097641454,0.0018331793,-0.010910818,0.34906584,2.0334458e-08,2.0329718e-08,3.9172072e-08,4259850,-0.08197158,-0.022710243,0.047806922,0.4,0.00027003605,0.00027004012,5.035706e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
29705471,29703360,4325386,0.00097069464,0.0018564989,-0.010910196,0.34906584,2.0012417e-08,2.0007413e-08,3.917712e-08,4259850,-0.08533818,-0.022311388,0.04768093,0.4,0.00026381257,0.00026382206,5.0358376e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
29915695,29915027,4325386,0.00095919904,0.0018639538,-0.010828515,0.34906584,1.9588338e-08,1.9582291e-08,3.890648e-08,4259850,-0.08780895,-0.021512136,0.04708322,0.4,0.00025615777,0.00025618274,4.9989644e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
30118326,30117828,4325386,0.00095748133,0.0018863282,-0.010845598,0.34906584,1.9372685e-08,1.9365435e-08,3.899142e-08,4259850,-0.090816,-0.020744521,0.04685016,0.4,0.00025135354,0.000251397,5.007968e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
30323196,30320628,4325386,0.00095242256,0.0018995358,-0.0108176805,0.34906584,1.9101808e-08,1.909362e-08,3.8912507e-08,4259850,-0.09312642,-0.019764332,0.046547133,0.4,0.00024591497,0.00024597425,4.995784e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
30530609,30528242,4325386,0.00094509346,0.0019053426,-0.010757254,0.34906584,1.8800966e-08,1.879113e-08,3.8716973e-08,4259850,-0.09495458,-0.018599212,0.046031155,0.4,0.00024012756,0.0002402139,4.9688747e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
30738360,30735403,4325386,0.0009460039,0.0019261718,-0.010786991,0.34906584,1.8678145e-08,1.8667192e-08,3.884451e-08,4259850,-0.09727307,-0.017489655,0.04604669,0.4,0.00023666119,0.00023676647,4.9830855e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
30949334,30947058,4325386,0.0009467763,0.0019447305,-0.0108117545,0.34906584,1.8566766e-08,1.8554243e-08,3.8954603e-08,4259850,-0.099406734,-0.0162805,0.045949914,0.4,0.00023337251,0.00023350406,4.9953387e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
31073369,31068784,4325386,0.0009376108,0.0019250012,-0.010705652,0.34906584,1.8400371e-08,1.8386777e-08,3.8587526e-08,4259850,-0.09857023,-0.016111901,0.04528502,0.4,0.0002310995,0.0002312496,4.9471105e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
31155366,31154368,4325386,0.00094479515,0.001956292,-0.010803475,0.34906584,1.8418433e-08,1.8404311e-08,3.8950237e-08,4259850,-0.1011251,-0.014911803,0.04563021,0.4,0.00022959117,0.00022974994,4.9926243e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
31255927,31253514,4325386,0.0009539139,0.0019745084,-0.010906682,0.34906584,1.8606466e-08,1.859136e-08,3.933415e-08,4259850,-0.102191605,-0.015048921,0.04591744,0.4,0.00023179506,0.00023196968,5.040879e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
31364078,31361936,4325386,0.0009492978,0.0019799974,-0.010868899,0.34906584,1.8411228e-08,1.8395326e-08,3.921402e-08,4259850,-0.10345737,-0.013566155,0.045505784,0.4,0.0002275814,0.00022777004,5.02436e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
31570157,31569033,4325386,0.0009444103,0.0019845346,-0.01082933,0.34906584,1.8236102e-08,1.8218522e-08,3.909207e-08,4259850,-0.104481794,-0.012040024,0.045162953,0.4,0.00022352445,0.0002237421,5.0067442e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
