timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
61228061,61227898,4259850,4325386,0.00011417326,3.7264195e-05,-0.00023850697,-0.00085072574,0.001498528,-0.045932982,4302,4279,0,2
61732942,61732791,4259850,4325386,-0.00014115674,-0.00012715334,0.001477759,-0.002558298,0.00059751293,-0.061778963,4638,5802,0,2
62724263,62724160,4259850,4325386,5.225549e-05,2.4273779e-05,0.0014664013,-0.00057349115,-0.0010884043,-0.042302262,4503,4154,0,2
63224565,63224461,4259850,4325386,5.917635e-05,0.00019710841,0.0009824455,-0.0017480275,0.00090098375,-0.043458357,4551,4231,0,2
63729709,63729179,4259850,4325386,-0.00033058663,0.00027645807,0.0010217457,-0.00053580577,-0.00089958956,-0.038296256,4507,4011,0,2
64229547,64229436,4259850,4325386,0.000104428276,0.00015445577,0.0011990783,-0.0015994144,-0.0001556075,-0.038614087,4362,4280,0,2
64729798,64729693,4259850,4325386,-5.8487814e-05,-0.00039336717,0.0013319595,-0.0009630231,0.0005275535,-0.03949724,4507,4277,0,2
65227167,65225443,4259850,4325386,0.00066905614,-0.00032470308,0.0013884411,-0.00093678746,0.002430713,-0.043371815,4466,4277,0,2
66230788,66230682,4259850,4325386,3.7255846e-05,-0.00031789494,0.0029799195,-0.0027838354,0.0010010699,-0.051518053,4724,5933,0,2
66726319,66726216,4259850,4325386,0.00015282356,4.222849e-05,0.0031161616,-0.0016382213,0.0013491113,-0.044056986,4506,4019,0,2
67229258,67226548,4259850,4325386,-4.4972094e-05,9.828501e-05,0.003341533,0.0006563021,-0.0011349107,-0.04533892,4581,4277,0,2
67726855,67726735,4259850,4325386,0.00010447922,3.1558422e-05,0.003449356,-0.002769492,0.0010635032,-0.04554953,4510,4282,0,2
68232474,68231540,4259850,4325386,-3.0686562e-05,0.00022513124,0.0034229555,-0.0010763996,0.0002786262,-0.05473555,4504,5701,0,2
68727354,68727249,4259850,4325386,0.0002640375,0.00027715164,0.0032385273,-0.0015757539,0.0016627125,-0.04388301,4320,4268,0,2
69732413,69732277,4259850,4325386,-0.00076792785,8.47331e-05,0.0027063638,-0.00085971114,0.00046270507,-0.042064525,4511,4196,0,2
70228203,70228096,4259850,4325386,0.0008063263,8.7053995e-05,0.0014281902,-0.0022690042,0.0014920474,-0.058778573,4569,5828,0,2
70728618,70728503,4259850,4325386,-0.00069124514,-0.00043327082,0.0013402929,-0.0026286258,0.00089705014,-0.04133203,4721,4276,0,2
71228651,71228545,4259850,4325386,0.00039177202,-1.661509e-05,0.001375065,-0.00023981094,0.0004617747,-0.044631645,4462,4423,0,2
71728906,71728805,4259850,4325386,-0.00048317015,-0.00020749371,0.0004961003,0.00088306866,0.0010079738,-0.040538054,4328,4022,0,2
72730445,72729325,4259850,4325386,-9.252367e-05,-0.00033142956,-0.0003630004,-0.00083383714,0.0015720137,-0.03969056,4501,4274,0,2
73225182,73225081,4259850,4325386,-0.0005509484,0.0002099007,-0.00038917418,-0.0015904696,-0.0004941823,-0.0435831,4283,4276,0,2
73725499,73725385,4259850,4325386,-9.200528e-05,0.00012820537,8.42966e-05,-0.0016028415,-0.00093181053,-0.04526831,4552,4183,0,2
74730508,74730370,4259850,4325386,-0.0003429507,0.0004972461,-0.00022296817,-0.0012070042,-0.00051728997,-0.035964143,4442,4274,0,2
75226489,75226383,4259850,4325386,0.00091070385,-0.00048657815,-0.00038860866,-0.0020117601,0.00080211327,-0.039951067,4768,4100,0,2
75726484,75726384,4259850,4325386,-0.00047803283,0.00027889814,-0.00020595767,-0.0016962397,-0.000319297,-0.043592684,4507,4278,0,2
76226791,76226690,4259850,4325386,-0.00074036163,0.00083225826,-6.673575e-06,-0.0026065656,-0.0005176437,-0.034350958,4370,4134,0,2
76727298,76726908,4259850,4325386,0.00042170266,-0.00035874237,0.00016751577,-0.0024518971,0.0004430086,-0.043940447,4458,4250,0,2
