timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_count_supported,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
32565541,1200.0,0.42246556,423.92325,0.0,639,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34076065,1200.0,0.42246556,637.0902,0.0,662,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34836928,1200.0,0.42246556,476.57028,0.0,674,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35593576,1200.0,0.42246556,688.6193,0.0,688,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37104652,1200.0,0.42246556,475.13733,0.0,708,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37866583,1200.0,0.42246556,473.0506,0.0,721,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38630853,1200.0,0.42246556,593.8236,0.0,732,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40138643,1200.0,0.42246556,526.9487,0.0,757,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40897812,1200.0,0.42246556,585.6451,0.0,768,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41649498,1200.0,0.42246556,557.8282,0.0,776,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43156567,1200.0,0.42246556,433.7146,0.0,803,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43915753,1200.0,0.42246556,629.4827,0.0,813,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44676622,1200.0,0.42246556,533.1619,0.0,826,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46188539,1200.0,0.42246556,586.79346,0.0,846,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46959340,1200.0,0.42246556,466.9234,0.0,856,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47715618,1200.0,0.42246556,587.5652,0.0,869,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49974818,1200.0,0.42246556,562.1724,0.0,905,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50734812,1200.0,0.42246556,675.4033,0.0,914,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51492540,1200.0,0.42246556,380.22513,0.0,925,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53004777,1200.0,0.42246556,667.4874,0.0,948,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53756038,1200.0,0.42246556,526.944,0.0,960,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54500672,1200.0,0.42246556,559.43945,0.0,974,6,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
