timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_rattitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
52895113,1,0,1,0,0,1,1,0,0,0,0,0,0,0
53401493,1,0,1,0,0,1,1,0,0,0,0,0,0,0
53909606,1,0,1,0,0,1,1,0,0,0,0,0,0,0
54419321,1,0,1,0,0,1,1,0,0,0,0,0,0,0
54927725,1,0,1,0,0,1,1,0,0,0,0,0,0,0
55434527,1,0,1,0,0,1,1,0,0,0,0,0,0,0
55941755,1,0,1,0,0,1,1,0,0,0,0,0,0,0
56451477,1,0,1,0,0,1,1,0,0,0,0,0,0,0
56960905,1,0,1,0,0,1,1,0,0,0,0,0,0,0
57468382,1,0,1,0,0,1,1,0,0,0,0,0,0,0
57975473,1,0,1,0,0,1,1,0,0,0,0,0,0,0
58486385,1,0,1,0,0,1,1,0,0,0,0,0,0,0
58993721,1,0,1,0,0,1,1,0,0,0,0,0,0,0
59497881,1,0,1,0,0,1,1,0,0,0,0,0,0,0
60006509,1,0,1,0,0,1,1,0,0,0,0,0,0,0
60508704,1,0,1,0,0,1,1,0,0,0,0,0,0,0
61009701,1,0,1,0,0,1,1,0,0,0,0,0,0,0
61519573,1,0,1,0,0,1,1,0,0,0,0,0,0,0
62029492,1,0,1,0,0,1,1,0,0,0,0,0,0,0
62533531,1,0,1,0,0,1,1,0,0,0,0,0,0,0
63039013,1,0,1,0,0,1,1,0,0,0,0,0,0,0
63540983,1,0,1,0,0,1,1,0,0,0,0,0,0,0
64044511,1,0,1,0,0,1,1,0,0,0,0,0,0,0
64553511,1,0,1,0,0,1,1,0,0,0,0,0,0,0
65062772,1,0,1,0,0,1,1,0,0,0,0,0,0,0
65565660,1,0,1,0,0,1,1,0,0,0,0,0,0,0
66074481,1,0,1,0,0,1,1,0,0,0,0,0,0,0
66574690,1,0,1,0,0,1,1,0,0,0,0,0,0,0
67081578,1,0,1,0,0,1,1,0,0,0,0,0,0,0
67589897,1,0,1,0,0,1,1,0,0,0,0,0,0,0
68091219,1,0,1,0,0,1,1,0,0,0,0,0,0,0
68595194,1,0,1,0,0,1,1,0,0,0,0,0,0,0
