timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,connected,source,priority,id,is_powering_off,warning
340030559,21.946692,22.096018,19.3673,21.410618,0.0,816.4043,1.0,1.0,nan,4,5.5240045,5.5240045,5.5240045,5.5240045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
340330490,22.121683,22.092644,24.905,21.517157,0.0,818.18616,1.0,1.0,nan,4,5.523161,5.523161,5.523161,5.523161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
340630591,21.538382,22.047173,27.3662,23.731995,0.0,820.3746,1.0,1.0,nan,4,5.511793,5.511793,5.511793,5.511793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
340930519,22.16543,22.025505,23.0298,24.114332,0.0,822.44336,1.0,1.0,nan,4,5.5063763,5.5063763,5.5063763,5.5063763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
341230490,22.325836,22.065947,19.660301,22.811777,0.0,824.2196,1.0,1.0,nan,4,5.5164866,5.5164866,5.5164866,5.5164866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
341830491,21.99044,22.114698,22.619598,20.964548,0.0,827.53516,1.0,1.0,nan,4,5.5286746,5.5286746,5.5286746,5.5286746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
342130489,21.87378,22.099379,23.6158,21.55212,0.0,829.3854,1.0,1.0,nan,4,5.5248446,5.5248446,5.5248446,5.5248446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
342430872,22.16543,22.08543,22.062899,22.454943,0.0,831.3564,1.0,1.0,nan,4,5.5213575,5.5213575,5.5213575,5.5213575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
342730730,22.413334,22.061596,22.238699,22.454493,0.0,833.2202,1.0,1.0,nan,4,5.515399,5.515399,5.515399,5.515399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
343030521,22.442497,22.053646,21.7992,22.2231,0.0,835.051,1.0,1.0,nan,4,5.5134115,5.5134115,5.5134115,5.5134115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
343330638,22.194595,22.03272,23.0884,22.065348,0.0,836.8647,1.0,1.0,nan,4,5.50818,5.50818,5.50818,5.50818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
343630488,21.844614,22.02243,23.0591,22.254787,0.0,838.7329,1.0,1.0,nan,4,5.5056076,5.5056076,5.5056076,5.5056076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
