timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
326535111,326534984,0.9890792,-0.004764448,-0.02406384,-0.14532967,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
327035567,327035435,0.9890803,-0.0059901234,-0.026164526,-0.14491285,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
327535730,327535595,0.9892929,0.0014312528,-0.024513096,-0.14386313,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
328036218,328035928,0.9890034,0.0035977964,-0.02605253,-0.14553574,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
328536387,328536260,0.9883887,-0.0029796893,-0.024453672,-0.14993677,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
329036764,329036629,0.98787326,-0.010882591,-0.02069115,-0.15349253,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
329537146,329537010,0.9878018,-0.01790206,-0.008863468,-0.15443006,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
330033538,330032739,0.9880443,-0.0048516463,-0.02079794,-0.1526838,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
330537706,330537571,0.98847824,-0.0017197955,-0.02242981,-0.14968237,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
331038037,331037899,0.98848224,-0.008284275,-0.01982717,-0.14980394,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
331538450,331538273,0.98835474,-0.003595351,-0.023436103,-0.15030897,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
332038717,332038582,0.98788726,-0.0061329766,-0.019815896,-0.15378097,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
332539522,332539131,0.987584,-0.0016014995,-0.025804969,-0.15494998,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
333039347,333039215,0.98823124,-0.006814893,-0.023537828,-0.15099187,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
333535405,333535266,0.98893934,-0.0043478366,-0.022758257,-0.14649943,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
334035500,334035365,0.9883615,-0.009852878,-0.022516834,-0.15012538,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
334535928,334535739,0.98275524,-0.008034084,-0.016810138,-0.1839701,-0.954927,-1.8953163e-09,-1.4909755e-09,-0.29684073,4
